0.3 3
0.1 4
0.3 6
0.5 3
0.8 2
0.5 7
100
0009734124 1 2018 10 11 15 0 3 1 2 6
0009734125 0 2018 10 11 15 0 24 9 11 38
0009734126 0 2018 10 11 15 0 123 132 19 349
0009734127 0 2018 10 11 16 0 81 43 11 138
0009734129 0 2018 10 11 16 1 3 1 2 11
0009734130 0 2018 10 11 16 1 13 12 5 42
0009734131 0 2018 10 11 10 0 24 47 7 57
0009734132 1 2018 10 11 15 0 5 2 1 10
0009734133 1 2018 10 11 17 0 1 0 1 0
0009734134 0 2018 10 11 12 0 17 12 2 46
0009734135 1 2018 10 11 16 0 1 0 0 1
0009734136 0 2018 10 11 15 1 11 20 6 35
0009734138 0 2018 10 11 15 0 5 5 4 20
0009734140 0 2018 10 11 18 0 6 2 2 27
0009734141 0 2018 10 11 13 0 17 14 3 39
0009734142 0 2018 10 11 18 0 112 123 7 395
0009734143 0 2018 10 11 18 1 24 33 3 67
0009734144 1 2018 10 11 18 0 2 1 4 9
0009734145 1 2018 10 11 18 0 1 1 1 6
0009734146 0 2018 10 11 19 1 7 8 2 22
0009734147 0 2018 10 11 19 0 25 36 3 120
0009734148 0 2018 10 11 19 0 11 11 2 30
0009734149 0 2018 10 11 19 0 9 5 1 15
0009734151 0 2018 10 11 19 0 7 7 3 20
0009734152 1 2018 10 11 20 0 1 0 1 0
0009734153 1 2018 10 11 20 0 6 4 4 19
0009734154 1 2018 10 11 20 0 1 0 0 1
0009734156 1 2018 10 11 21 1 6 2 1 3
0009734157 0 2018 10 11 21 0 6 1 2 26
0009734158 1 2018 10 11 21 0 2 2 2 5
0009734159 1 2018 10 11 21 0 2 3 2 7
0009734160 1 2018 10 11 21 0 1 0 1 0
0009734161 1 2018 10 11 22 0 2 1 1 0
0009734162 1 2018 10 11 22 1 3 4 1 2
0009734163 0 2018 10 11 21 0 4 3 3 25
0009734164 0 2018 10 11 22 1 10 7 4 26
0009734166 1 2018 10 11 22 0 1 0 1 0
0009734167 1 2018 10 11 22 1 4 2 2 2
0009734169 1 2018 10 11 21 0 1 5 2 4
0009734170 0 2018 10 11 23 0 25 15 4 42
0009734171 0 2018 10 11 23 1 15 11 4 12
0009734172 1 2018 10 11 23 0 3 1 1 16
0009734173 1 2018 10 11 23 0 2 1 1 5
0009734174 0 2018 10 11 23 1 4 5 4 13
0009734176 0 2018 10 12 0 0 3 5 6 35
0009734177 1 2018 10 12 0 0 1 3 1 3
0009734178 1 2018 10 12 0 0 2 1 0 1
0009734179 1 2018 10 12 1 0 1 0 0 5
0009734182 1 2018 10 12 3 0 2 1 0 0
0009734183 0 2018 10 12 3 0 13 3 5 36
0009734184 1 2018 10 11 23 0 3 1 1 2
0009734185 0 2018 10 12 4 1 10 9 7 28
0009734186 0 2018 10 12 4 0 3 3 0 16
0009734187 0 2018 10 12 4 1 17 14 1 30
0009734188 0 2018 10 12 4 1 11 13 2 35
0009734189 1 2018 10 12 5 0 2 1 1 0
0009734190 0 2018 10 12 7 1 6 2 2 9
0009734193 0 2018 10 12 8 0 4 2 1 24
0009734195 1 2018 10 12 8 0 1 0 0 2
0009734197 1 2018 10 12 8 0 2 3 2 7
0009734207 0 2018 10 12 8 0 6 10 1 22
0009734208 0 2018 10 12 9 0 5 7 0 8
0009734210 1 2018 10 12 9 1 1 1 1 7
0009734215 1 2018 10 12 10 0 1 2 1 4
0009734217 1 2018 10 12 10 0 1 5 2 5
0009734220 1 2018 10 12 10 0 1 1 1 4
0009734223 0 2018 10 12 11 1 4 5 2 11
0009734228 0 2018 10 12 12 0 36 51 8 155
0009734230 1 2018 10 12 11 0 1 0 0 1
0009734231 0 2018 10 12 9 0 7 12 3 25
0009734232 1 2018 10 12 12 0 1 1 1 5
0009734235 0 2018 10 12 12 1 39 29 8 48
0009734236 0 2018 10 12 13 0 8 4 1 24
0009734237 0 2018 10 12 13 1 20 21 3 51
0009734238 1 2018 10 12 11 0 2 1 1 4
0009734241 0 2018 10 12 10 0 5 4 5 21
0009734243 0 2018 10 12 14 0 8 3 3 10
0009734244 0 2018 10 12 14 0 9 7 5 12
0009734245 0 2018 10 12 14 1 48 49 8 158
0009734246 0 2018 10 12 14 1 13 4 1 13
0009734251 1 2018 10 12 14 1 1 2 2 6
0009734253 0 2018 10 12 15 1 17 27 5 48
0009734255 1 2018 10 12 15 0 1 0 1 4
0009734258 1 2018 10 12 16 1 4 1 1 3
0009734260 0 2018 10 12 16 0 11 3 2 24
0009734264 0 2018 10 12 17 1 3 2 2 10
0009734265 1 2018 10 12 16 0 1 0 1 3
0009734266 0 2018 10 12 17 0 11 5 1 32
0009734267 1 2018 10 12 18 0 2 0 0 0
0009734268 1 2018 10 12 18 0 2 0 0 0
0009734269 0 2018 10 12 18 0 3 4 5 8
0009734270 0 2018 10 12 18 0 8 4 8 49
0009734272 1 2018 10 12 18 1 2 5 4 13
0009734276 1 2018 10 12 19 1 3 3 2 10
0009734277 1 2018 10 12 18 0 1 0 0 0
0009734279 1 2018 10 12 19 1 7 3 3 13
0009734280 0 2018 10 12 19 1 22 13 15 78
0009734281 1 2018 10 12 19 0 1 0 1 1
0009734282 1 2018 10 12 20 1 3 1 1 8
0009734283 0 2018 10 12 20 0 155 135 15 470
